TTD_ID,Indication,State,FHDI_Drug_ID
D0U5OE,Schizophrenia [ICD-11: 6A20],Approved,D00214
D03KQF,Major depressive disorder [ICD-11: 6A70.3],Approved,D00217
D0H8QL,Obesity [ICD-11: 5B81],Approved,D00218
D0J1MI,Worm infection [ICD-11: 1F90.Z],Approved,D00220
D0V8HA,Essential hypertension [ICD-11: BA00],Approved,D00221
D08IFL,Ankylosing spondylitis [ICD-11: FA92.0],Approved,D00222
D08IFL,Joint pain [ICD-11: ME82],Approved,D00222
D05FTJ,Dysmenorrhea [ICD-11: GA34.3],Approved,D00223
D0GQ7K,Malaria [ICD-11: 1F40-1F45],Approved,D00224
D01JEU,Alzheimer disease [ICD-11: 8A20],Approved,D00225
D00UYE,Pain [ICD-11: MG30-MG3Z],Approved,D00226
D0Y4AW,Malaria [ICD-11: 1F40-1F45],Approved,D00227
D0Y4AW,Anxiety disorder [ICD-11: 6B00-6B0Z],Approved,D00227
D0Y4AW,Ischemic reperfusion injury [ICD-11: DB98.B],Discontinued in Phase 1,D00227
D0C4YC,Ulcerative colitis [ICD-11: DD71],Approved,D00228
D0C4YC,Ulcerative colitis [ICD-11: DD71],Approved,D01371
D04AAN,Schizophrenia [ICD-11: 6A20],Approved,D00229
D0D7LA,Type-2 diabetes [ICD-11: 5A11],Approved,D00230
D09OJQ,Dry cough [ICD-11: MD12],Approved,D00231
D0C2II,Glaucoma/ocular hypertension [ICD-11: 9C61],Approved,D00232
D0FN7J,Musculoskeletal disorder [ICD-11: FA00-FC0Z],Approved,D00233
D08SKH,Cutaneous T-cell lymphoma [ICD-11: 2B01],Approved,D00234
D08SKH,Psoriasis vulgaris [ICD-11: EA90],Approved,D00234
D07SOO,Anaesthesia [ICD-11: 9A78.6],Approved,D00235
D02PPN,Attention deficit hyperactivity disorder [ICD-11: 6A05.Z],Approved,D00236
D02PPN,Traumatic brain injury [ICD-11: NA07.Z],Phase 4,D00236
D05OQJ,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00237
D08VYV,Nausea [ICD-11: MD90],Approved,D00238
D01WLC,Edema [ICD-11: MG29],Approved,D00239
D01WLC,Hypertension [ICD-11: BA00-BA04],Approved,D00239
D0I2MK,Hypertension [ICD-11: BA00-BA04],Approved,D00240
D0A2ZX,Amoebiasis [ICD-11: 1A36],Approved,D00241
D0A2ZX,Crohn disease [ICD-11: DD70],Phase 3,D00241
D0A2ZX,Perianal crohn disease [ICD-11: DD70.4],Phase 3,D00241
D0Q9JT,Cushing disease [ICD-11: 5A70],Approved,D00242
D0X0RI,Ventricular tachycardia [ICD-11: BC71],Approved,D00243
D00AXJ,Fungal infection [ICD-11: 1F29-1F2F],Approved,D00244
D0U6LM,Irritability [ICD-11: MB24],Approved,D00245
D0U6LM,Epilepsy [ICD-11: 8A60-8A68],Phase 3,D00245
D02XJY,Orthostatic hypotension [ICD-11: BA21],Approved,D00246
D0Y2CJ,Hypertension [ICD-11: BA00-BA04],Approved,D00247
D05ZIK,Depression [ICD-11: 6A70-6A7Z],Approved,D00248
