FHDI_Herb_ID,Herb_Latin_Name,Herb_English_Name,Herb_Pinyin_Name,Herb_Chinese_Name,Properties,Meridians ,Use_Part,Function ,Indication,Toxicity ,Therapeutic_Class,Therapeutic _Class_Chinese,HERB_ID,SymMap_ID,NPASS_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
H00987,Herba Houttuyniae,all-grass of Heartleaf Houttuynia,YU XING CAO,鱼腥草,Minor cold; Pungent,Lung,aerial parts,"To remove toxic heat, to promote the drainage of pus, and to relieve dysuria.","Pulmonary welling abscess with hacking of pus and blood, lung heat phlegm cough, pneumonia, chronic bronchitis, urinary tract infection, odynuria, chronic uterine cervical infection, leptospirosis, otitis media, cystitis, dysentery, mastitis, heat toxin sores, heat strangury.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB006741,465,NA,16751,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Piperales,Saururaceae,No Rank at Level Genus,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00988,Syringa pinnafolia,Pinnateleaf Lilac,YU YE DING XIANG,羽叶丁香,NA,NA,root or branch and trunk,"To warm center, downbear qi , warm kidney.","Cold pain in stomach duct and abdomen, cold asthma, prolapse of uterus, prolapse of rectum.",NA,NA,NA,HERB006743,NA,NPO20995,149022,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Oleaceae,Syringa,NA
H00990,Fructus Akebiae,Akebia Fruit,YU ZHI ZI,预知子,NA,NA,seed,"To regulate the flow of the liver qi, to promote blood circulation and relieve pain, and to cause diuresis.","Liver stomach qi stagnation, distending pain in stomach duct, distending pain in rib-side, non-digestion of food accumulati on, dysenter y, mounting qi , lumbago, amenorrhea and dysmenorrhea, goiter and tuberculosis, scrofula, carcinoma.",NA,Qi Regulating Drugs,理气药,HERB006752,471,NPO22276,13330,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Lardizabalaceae,No Rank at Level Genus,NA
H00991,Radix Echinopsis,Globethistle Root,YU ZHOU LOU LU,禹州漏芦,NA,NA,NA,"To remove heat and counteract toxicity, drainage of pus, stanch bleeding, to cure sores and carbuncles, increase the secretion of milk.","Treatment of sores, carbuncles, swelling and pain due to mastitis, galactostasis, tuberculosis of lypmhaden, pyogenic infection. It can be used as antheimintic.",NA,"External Medicinal (Draw Out Toxin, Resolve Putridity)",拔毒化腐生肌药,HERB006753,466,NA,141476,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Apocynaceae,No Rank at Level Genus,NA
H00992,Hypericum sampsonii,Sampson StJohn’swort,YUAN BAO CAO,元宝草,NA,NA,whole herb,"To cool blood and stanch bleeding, clear heat and resolve toxin, quicken blood and regulate menstruation, dispel wind and free network vessels.","Blood ejection, hemoptysis, spontaneous external bleeding, blood strangury, bleeding from wounds, enteritis, dysentery, mammary welling abscess, swollen welling abscess and toxin of clove sore, scalds, snake bite, menstrual disorder, menstrual pain, leukorrhea, knocks and falls, wind-damp impediment pain, pain in lumbus and leg, tinea capitis, mouth sore, eye screen.",NA,NA,NA,HERB006760,NA,NPO7019,282553,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,NA
H00993,Rhodiola juparensis,Jupar Rhodiola,YUAN CONG HONG JING TIAN,圆丛红景天,NA,NA,NA,NA,NA,NA,NA,NA,HERB006765,NA,NA,1871911,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Saxifragales,Crassulaceae,Rhodiola,NA
H00994,Angelica archangelica,Angelica,YUAN DANG GUI,圆当归,NA,NA,NA,NA,NA,NA,NA,NA,HERB006766,NA,NPO6190,40949,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Angelica,NA
H00995,Glycyrrhiza squamulosa,Roundfruit Licorice,YUAN GUO GAN CAO,原果甘草,NA,NA,root and rhizome,See Glycyrrhiza uralensis .,See Glycyrrhiza uralensis .,NA,NA,NA,HERB006769,NA,NPO10884,2731867,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycyrrhiza,NA
H00996,Flos Genkwa,flower bud of Lilac Daphne,YUAN HUA,芫花,Warm; Pungent; Bitter,Lung; Large Intestine; Kidney,bud,1. To transform water and stop cough; 2. To resolve phlegm and stop cough; 3. To kill worms,"Edema, ascites, hydrothorax, cough with profuse phlegm, chronic bronchitis, malaria, scalp infection, infection of skin, tinea capitis, neurodermatitis, induce abortion, toothache.",Toxic,Drastic Purgatives,通水药,HERB006773,472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00997,Daphne genkwa,Lilac Daphne Root,YUAN HUA GEN,芫花根,NA,NA,root,"To expel water, resolve toxin, dissipate binds.","Edema, scrofula, mammary welling abscess, hemorrhoids, scab sore.",NA,NA,NA,HERB006775,NA,NPO9756,1477590,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Thymelaeaceae,Daphne,NA
