FHDI_Herb_ID,Herb_Latin_Name,Herb_English_Name,Herb_Pinyin_Name,Herb_Chinese_Name,Properties,Meridians ,Use_Part,Function ,Indication,Toxicity ,Therapeutic_Class,Therapeutic _Class_Chinese,HERB_ID,SymMap_ID,NPASS_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
H00276,Herba Dracocephali tangutici,all-grass of Tangut Dragonhead,GAN QING QING LAN,甘青青兰,Cold; Sweet; Bitter,Stomach; Liver,Dracocephalum tanguticum Maxim,NA,NA,NA,NA,NA,HERB001797,NA,NPO25614,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00277,Radix seu Rhizoma rdostachyos,rdostachys Root,GAN SONG,甘松,Warm; Pungent; Sweet,Spleen; Stomach,root and rhizome,"To regulate the flow of qi and relieve pain, and to invigorate the spleen function.","Stomachache, distention fullness in chest and abdomen, headache, hysteria, beriberi.",NA,Qi Regulating Drugs,理气药,HERB001801,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00278,Scutellaria rehderiana,Rehder Skullcap,GAN SU HUANG QIN,甘肃黄芩,NA,NA,root,See Scutellaria baicalensis.,See Scutellaria baicalensis.,NA,NA,NA,HERB001804,NA,NPO25459,516072,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,NA
H00279,Crataegus kansuensis,Kansu Hawthorn,GAN SU SHAN ZHA,甘肃山楂,NA,NA,fruit,See Crataegus cuneata.,See Crataegus cuneata.,NA,NA,NA,HERB001805,NA,NA,416286,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Crataegus,NA
H00280,Radix Kansui,root of Gansui,GAN SUI,甘遂,Cold; Bitter,Lung; Large Intestine; Kidney,tuberoid,To cause drastic purgation and expel the retained water.,"Edema, ascites, flowing rheum in chest, concretion conglomeration accumulation and gathering, epilepsy, cough and asthma, urinar y and fecal stoppage.",NA,Drastic Purgatives,通水药,HERB001806,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00281,Salvia przewalskii,Przewalsk Sage,GAN XI SHU WEI CAO,甘西鼠尾草,NA,NA,root,See Salvia miltiorrhiza .,See Salvia miltiorrhiza .,NA,NA,NA,HERB001808,NA,NPO25813,342060,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,NA
H00283,NA,Ligustici Rhizoma Et Radix,GAO BEN,藁本,NA,NA,NA,NA,"Headache due to externally contracted wind-cold, vertex headache, pain in tooth and cheek, migraine, wind-cold-damp impediment, pain in limbs.",NA,Pungent-Warm Exterior-Releasing Medicinal,辛温解表药,HERB001821,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00284,Sorbaria arborea,Tree Falsespiraea,GAO CONG ZHEN ZHU MEI,高丛珍珠梅,NA,NA,bark,See Sorbaria sorbifolia .,See Sorbaria sorbifolia .,NA,NA,NA,HERB001824,NA,NPO28300,32248,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,Sorbaria,NA
H00285,Macropiper excelsum,Pepper-tree,GAO DA HU JIAO,NA,NA,NA,NA,NA,NA,NA,NA,NA,HERB001827,NA,NPO25534,130373,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Piperales,Piperaceae,Macropiper,NA
H00287,Scutellaria altissima,Tall Skullcap,GAO HUANG QIN,高黄芩,NA,NA,NA,NA,NA,NA,NA,NA,HERB001840,NA,NPO9809,53168,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Scutellaria,NA
H00288,Coffea excelsa,High Coffee,GAO KA FEI,高咖啡,NA,NA,NA,NA,NA,NA,NA,NA,HERB001849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00289,Radix Ginseng Korea,Korea ginseng,GAO LI SHEN,高丽参,Minor Warm; Sweet; Slightly Bitter,Lung; Spleen; Heart,Panax ginseng CA.Mey,NA,NA,NA,NA,NA,HERB001850,NA,NPO13115,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00291,NA,Alpiniae Officirum Rhizome,GAO LIANG JIANG,高良姜,NA,NA,NA,NA,"Cold pain in stomach duct and abdomen, vomiting, diarrhea.",NA,Warming Interior Drugs,温里药,HERB001852,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00292,Radix Puerariae,root of lobed kudzuvine,GE GEN,葛根,Cool; Pungent; Sweet,Spleen; Stomach,tuberoid,"To relieve fever, to promote the production of body fluid,to facilitate eruption, and to arrest diarrhea.","Angina pectoris, hypertension, headache due to externally contracted wind-heat, rigidity of neck, thirst, diabetes mellitus, non-eruption of measles, heat dysentery, diarrhea, deafness in early stage, optic nerve atrophy, retinitis.",NA,Pungent-Warm Exterior-Releasing Medicinal,辛温解表药,HERB001874,499,NA,3892,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,No Rank at Level Genus,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00293,flos puerariae lobatae,flower bud of lobed kudzuvine,GE HUA,葛花,Cool; Pungent; Sweet,Spleen; Stomach,NA,"To relieve fever, to promote the production of body fluid,to facilitate eruption, and to arrest diarrhea.","Treatment of fever, headache and stiffness of th nape in exogenous affections, thirst, diabetes, measles with inadequate eruption, acute dysentery or diarrhea, stiff and painful nape in hypertension.",NA,Pungent Cool Diaphoretics,辛凉解表药,HERB001876,139,NA,3893,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Pueraria,NA
H00294,Concha Meretricis seu Cyclinae,Clam Shell,GE QIAO,蛤壳,Cold; Bitter; Salty,Lung; Stomach,Meretrix meretrix Linnaeus.;Cyclina sinensis Gmelin,"Treatment of cough, chest pain and bloody sputum caused by heat in the lung, scrofula, goitre, epigastric pain associated with acid regurgitation, external use for eczema and scalds.","Treatment of cough, chest pain and bloody sputum caused by heat in the lung, scrofula, goitre, epigastric pain associated with acid regurgitation, external use for eczema and scalds.",NA,NA,NA,HERB001885,NA,NPO15173,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00295,Actinidia rubricaulis var. coriacea,Coriaceousleaf Actinidia,GE YE MI HOU TAO,革叶猕猴桃,NA,NA,fruit,Anticarcinoma.,Tumor.,NA,NA,NA,HERB001892,NA,NPO23722.1,222505,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Actinidiaceae,Actinidia,NA
H00296,Caulis Mahoniae,Stem of Leatherleaf Mahonia,GONG LAO MU,功劳木,Cold; Bitter,Large Intestine; Stomach; Liver,NA,"To remove dimp-heat, quench fire, and counteract toxicity.","Berberine is the main active component with an action similar to Rhizoma Coptidis. Another active component, isotetrandrine, is an anticarcinogenic agent.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB001896,140,NPO14660,2750454,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Berberidaceae,No Rank at Level Genus,NA
H00297,NA,Ilex cornuta lindl,GOU GU GEN,枸骨根,NA,NA,NA,NA,NA,NA,NA,NA,HERB001899,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00298,Ilex cornuta,Chinese Holly Bark,GOU GU SHU PI,枸骨树皮,NA,NA,bark,"To supplement yin, boost liver and kidney, strengthen lumbus and legs.","Liver kidney vacuity, weakness in lumbus and knees.",NA,NA,NA,HERB001900,NA,NPO20116,146505,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Aquifoliales,Aquifoliaceae,Ilex,NA
H00299,NA,Folium Ilicis Cornutae,GOU GU YE,枸骨叶,NA,NA,NA,NA,"Yin vacuity taxation fever, cough and hemoptysis, dizzy head and vision, limp aching lumbus and knees, wind-damp impediment pain, white patch wind.",NA,Asthenic Heat Dispelling Drugs,清虚热药,HERB001901,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00300,NA,Ilex cornuta Lindl,GOU GU ZI,枸骨子,NA,NA,NA,NA,NA,NA,NA,NA,HERB001902,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00301,Cudrania cochinchinensis,Cochinchina Cudrania,GOU JI,狗脊,Warm; Sweet; Bitter,Liver; Kidney,root,"To dispel wind and free network vessels, clear heat and remove damp, resolve toxin and disperse swelling.","Wind-damp impediment pain, knocks and falls, jaundice, parotitis, phthisis, gastric ulcer, duodenal ulcer, strangury-turbidity, tympanites, menstrual block, taxation damage and coughing of blood, clove sore and swollen welling abscess.",NA,For tonifying weakness,补虚,HERB001903,NA,NPO29752,194324,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Moraceae,Maclura,NA
H00302,Poncirus trifoliata,Trifoliate-orange,GOU JU,枸橘,NA,NA,unripe fruit,"To break qi and dissipate binds, course liver and resolve depression.","Binding depression of liver qi , mammary consumption, mounting qi, qi stagnation, distention fullness in stomach duct and abdomen, pain in stomach duct, constipation, prolapse of uterus, prolapse of rectum.",NA,NA,NA,HERB001904,NA,NPO31471,37690,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
H00303,Poncirus trifoliata,Trifoliate-orange Young Fruit,GOU JU ZHI SHI,枸橘枳实,NA,NA,young fruit,See Citrus aurantium.,See Citrus aurantium.,NA,NA,NA,HERB001909,NA,NPO31471,37690,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
H00304,NA,Fructus lycii,GOU QI,枸杞,NA,NA,NA,NA,NA,NA,NA,NA,HERB001911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00305,Lycium chinense,Chinese Wolfberry Root-bark Equivalent plant: Lycium barbarum,GOU QI GEN PI,枸杞根皮,NA,NA,root cortex,"To eliminate heat in blood, lower vacuity heat.","Diabetes mellitus, malaria, tidal fever with night sweat, child gan accumulation with fever, cough and hemoptysis or dyspnea, blood ejection, spontaneous external bleeding.",NA,NA,NA,HERB001912,NA,NPO17823,112883,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Lycium,NA
H00306,Lycium chinense,Chinese Wolfberry Leaf,GOU QI YE,枸杞叶,NA,NA,leaf,"To supplement vacuity and boost essence, clear heat and allay thirst, dispel wind and brighten eyes.","Vacuity taxation with fever, vexation and thirst, sore red eyes and clouded vision, eye screen, night blindness, flooding, vaginal discharge, heat toxin sores.",NA,NA,NA,HERB001914,NA,NPO17823,112883,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Lycium,NA
H00307,Fructus Lycii,fruit of Chinese Wolfberry,GOU QI ZI,枸杞子,Mild; Sweet,Liver; Kidney,fruit,"To benefit the liver and the kidney, to replenish vital essence and to improve eyesight.","Lassitude in lumbus and knees, emission, dizziness and dim vision, lung disease with cough, diabetes mellitus.",NA,Yin-Tonifying Medicinal,补阴药,HERB001915,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GOU QI berries are a nutritious and health preserving vegetable with medicinal and edible origins, as well as a precious traditional Chinese medicine"
H00308,Broussonetia papyrifera,Common Papermulberry,GOU SHU,构树,NA,NA,branch,"To dispel wind, brighten eyes, disinhibit urine.","Wind papules, red eyes with gall, inhibited urination [=dysuria].",NA,NA,NA,HERB001920,NA,NPO5495,172644,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Moraceae,Broussonetia,NA
H00309,Ramulus Uncariae cum Uncis,Gambir Plant,GOU TENG,钩藤,Minor cold; Sweet,Liver; Cardiovascular,hooked stem-branch,"To remove heat, subdue hyperactivity of the liver, and arrest convulsions.","Infant fright wind and night crying, exuberant heat stirring wind, epilepsy of pregnancy, liver yang dizziness, liver fire headache.",NA,Liver-Pacifying Wind-Extinguishing Medicinal,平肝熄风药,HERB001924,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00310,Ancistrocladus korupensis,Ancistrocladus,GOU ZHI TENG,钩枝藤,NA,NA,NA,NA,NA,NA,NA,NA,HERB001929,NA,NPO2073,63089,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Ancistrocladaceae,Ancistrocladus,NA
H00311,Flos Eriocauli,Pipewort Flower,GU JING CAO,谷精草,Mild; Sweet,Stomach; Liver,flower head with peduncle,To expel wind and heat and to clear the eye of corneal opacity.,"Distended red eyes and screen, delacrimation and photophobia, night blindness, headache, deep-source nasal congestion, throat impediment, toothache, wind papule itching.",NA,Fire Purging Drugs,清热泻火药,HERB001938,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00312,Erythroxylum coca,Coca Shrub,GU KE,谷壳,NA,NA,NA,NA,NA,NA,NA,NA,HERB001939,NA,NPO3735,289672,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Erythroxylaceae,Erythroxylum,NA
H00313,Rhizoma Dryriae,rhizome of Heartleaf Dryria,GU SUI BU,骨碎补,Warm; Bitter,Liver; Kidney,rhizome,"To replenish the kidney, to strengthen the bones, to promote the healing of fracture, and to relieve pain.","Kidney vacuity lumbago, tinnitus and deafness, tooth mobilizing, wrenching and contusion from knocks and falls, sinew and bone wound, alopecia areata, white patch wind.",NA,Yang Reinforcing Drugs,补阳药,HERB001942,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00314,NA,Drynaria fortunei (Kunze) J. Sm,GU SUI BU MAO,骨碎补毛,NA,NA,NA,NA,NA,NA,NA,NA,HERB001943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00315,Calycis Melo,Muskmelon base,GUA DI,瓜蒂,Cold; Bitter,Stomach,fruit pedicel,Vomiting promotion,"Wind stroke, epilepsy, throat impediment, indigestion of overnight food, distending pain in stomach duct, damp-heat jaundice, chronic hepatitis, cirrhosis.",Extremely Toxic,Emetic Medicinal,涌吐药,HERB001948,146,NA,927630,Eukaryota,Metazoa,Mollusca,Gastropoda,Neogastropoda,Volutidae,Volutidae,NA
H00316,NA,Phellodendri Amurensis Cortex,GUAN HUANG BO,关黄柏,NA,NA,NA,NA,NA,NA,Heat-Clearing And Dampnessdrying Medicinal,清热燥湿药,HERB001969,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00317,NA,Herbahypericiperforati,GUAN YE JIN SI TAO,贯叶金丝桃,NA,NA,NA,NA,NA,NA,Astringent Hemostatic Medicinal,收敛止血药,HERB001981,149,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00318,Hypericum perforatum,St. John’s wort,GUAN YE LIAN QIAO,贯叶连翘,bitter; sour; cold,liver; gallbladder; stomach; bladde...,whole herb with root,"To promote astriction and stanch bleeding, regulate menstruation and free milk, clear heat and resolve toxin, disinhibit damp.","Hemoptysis, blood ejection, intestinal wind bleeding, flooding and spotting, bleeding due to external injury, menstrual disorder, galactostasis, jaundice, throat pain, red eyes with gall, urinary tract infection, mouth sore, nose sores, swelling toxin of welling abscess and boil, burns and scalds.",NA,"Heat clearence,blood activation and stasis removal",清热活血化淤,HERB001982,NA,NPO4391,65561,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malpighiales,Hypericaceae,Hypericum,NA
H00319,Rhizoma Dryopteris crassirhizomae,root of Chinese Angelica,GUAN ZHONG,贯众,Minor cold; Bitter,Spleen; Liver,NA,1. To kill parasites; 2. To clear heat and release toxins; 3. To stop bleeding,"Wind-heat common cold, warm heat macular eruption, blood ejection, hemoptysis, spontaneous external bleeding, hematochezia, flooding and spotting, blood dysentery, vaginal discharge, ancylostomiasis, ascariasis, oxyuria disease.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB001985,150,NPO17283,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00320,Glycyrrhiza glabra,Licorice,GUANG GUO GAN CAO,光果甘草,NA,NA,root and rhizome,See Glycyrrhiza uralensis .,See Glycyrrhiza uralensis .,NA,NA,NA,HERB002000,NA,NPO29384,49827,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycyrrhiza,NA
H00322,NA,Pogostemon Cablin (Blanco) Benth.,GUANG HUO XIANG,广藿香,NA,NA,NA,NA,"Summerheat-damp lassitude, oppression in chest, vomiting diarrhea with abdominal pain, deep-source nasal congestion and headache.",NA,Dampness Removing Drugs,化湿药,HERB002002,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00323,Rubia wallichiana,Wallich Madder,GUANG JING QIAN CAO,广金钱草,NA,NA,root,See Rubia cordifolia .,See Rubia cordifolia.,NA,NA,NA,HERB002007,NA,NPO3011,1905583,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Rubia,NA
H00324,Rauwolfia nitida,Shining Devilpepper,GUANG LIANG LUO FU MU,光亮萝芙木,NA,NA,NA,NA,NA,NA,NA,NA,HERB002010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00325,Fructus Choerospondiatis,fruit of Axillary choerospondias,GUANG ZAO,广枣,Cold; Sour; Punkery,Spleen; Liver,NA,"To promote the flow of qi and blood, to replenish the heart and allay excitement.","Treatment of stagnation of qi and blood with pectoral pain, palpitation and shortness of breath, uneasiness in mind.",NA,Blood Activating Stasis Removing Drugs,活血祛瘀药,HERB002040,152,NPO23604,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00326,Plastrum Testudinis,Tortoise plastron,GUI BAN,龟板,Cold; Sweet; Salty,Liver; Heart; Kidney,NA,"Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), Sea-ear sh","Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), ",NA,For tonifying weakness,补虚,HERB002044,NA,NPO15987,8459,Eukaryota,Metazoa,Chordata,No Rank at Level Class,No Rank at Level Order,No Rank at Level Family,No Rank at Level Genus,NA
H00327,Colla carapacis et plastri testudinis,Gelatin of Tortoise plastron,GUI BAN JIAO,龟板胶,Cold; Sweet; Salty,Liver; Heart; Kidney,NA,"Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), Sea-ear sh","Treatment of hyperactivity of liver yang due to deficient yin of the liver and kidneys manifested as dizziness, distension and pain in the head and blurred vision. Tortoise plastron (Guiban) is used with White peony root (Baishao), Cyathula root (Niuxi), ",NA,For tonifying weakness,补虚,HERB002045,NA,NPO17349,8459,Eukaryota,Metazoa,Chordata,No Rank at Level Class,No Rank at Level Order,No Rank at Level Family,No Rank at Level Genus,NA
H00328,Caragana jubata,Shagspine Peashrub,GUI JIAN JIN JI ER,鬼箭锦鸡儿,NA,NA,"root, branch-leaf","To clear heat and resolve toxin, lower blood pressure.","Mammary welling abscess, swelling toxin of sore and boil, hypertension.",NA,NA,NA,HERB002051,NA,NPO22224,283153,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Caragana,NA
H00329,Ramulus Euonymi,twig of Winged Euonymus,GUI JIAN YU,鬼箭羽,Cold; Bitter,Liver,NA,For activating blood and modulating period,"Concretion and conglomeration, pain in heart and abdomen, amenorrhea, dysmenorrhea, postpartum stasis stagnation abdominal pain, retention of lochia, mounting qi , joint running impediment pain, swelling of sores, painful wound from knocks and falls, burns and scalds, poisonous snake bite.",NA,Blood Activating Stasis Removing Drugs,活血祛瘀药,HERB002052,153,NPO16795,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00330,Ramulus Euonymi,twig of Winged Euonymus,GUI JIN YU,鬼箭羽,Cold; Bitter,Liver,Euonymus alatus(Thunb.) Sieb,For activating blood and modulating period,NA,NA,Blood activation and stasis removal,活血化淤,HERB002053,NA,NPO16795,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00331,Dysosma versipellis [Syn. Podophyllum versipelle ],Common Dysosma,GUI JIU,鬼臼,NA,NA,rhizome and root,See Dysosma pleiantha.,See Dysosma pleiantha .,NA,NA,NA,HERB002054,NA,NPO17807,93611,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Berberidaceae,Dysosma,NA
H00332,NA,Folium Sabinae chinensis,GUI YE,桧叶,NA,NA,NA,NA,NA,NA,NA,NA,HERB002060,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00333,Herba Bidentis,all-grass of Spanishneedles,GUI ZHEN CAO,鬼针草,NA,NA,whole herb,1. To clear the superficial heat. 2. To clear heat and toxic materials. 3. To clear dampness and heat from the gastrointestines.,"Swelling pain in throat, dysentery, diarrhea, jaundice, intestinal welling abscess, swelling toxin of clove sore, snake or insect bites, wind-damp impediment pain, knocks and falls.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB002061,154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00334,Ramulus Cinmomi,Cassia Twig,GUI ZHI,桂枝,Warm; Pungent; Sweet,Lung; Bladder; Heart,twig,"To induce perspiration, to warm the channels and stimulate menstrual discharge, to reinforce yang, to relieve palpitation, and to promote the descending of qi.","Wind-cold exterior syndrome, cold-damp impediment pain, reversal cold of limbs, amenorrhea and dysmenorrhea, concretion and conglomeration, chest impediment, palpitation, phlegm-rheum, inhibited urination.",NA,Pungent-Warm Exterior-Releasing Medicinal,辛温解表药,HERB002062,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00335,Morinda citrifolia,Indianmulberry,HAI BA JI,海巴戟,NA,NA,root,To clear heat and resolve toxin.,"Dysentery, tuberculosis.",NA,NA,NA,HERB002076,NA,NPO4323,43522,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Rubiaceae,Morinda,NA
H00336,Acacia catechu,Cutechu,HAI ER CHA,孩儿茶,NA,NA,dry decocted paste of branch and trunk without bark,"To contract damp, close sores and engender flesh.","Enduring sores, eczema, mouth sore, painful wound from knocks and falls, bleeding due to external injury, suppurative infection.",NA,NA,NA,HERB002085,NA,NPO29757,138017,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Senegalia,NA
H00338,Concha Cyclinae,Clam shell,HAI GE KE,海蛤壳,Bitter;  salty; cold,Lung; stomach,NA,"1. Treatment of phlegm-heat cough manifested as cough with thick yellow sputum, asthma, chest pain and hypochondriac pain. Sea clam shell (Haigeke) is used with Costazia bone (Haifushi), Swallowwort rhizome (Baiqian), Mulberry bark (Sangbaipi), Capejasmine (Zhizi) and Trichosanthes fruit (Gualou). 2. Treatment of scrofula and goiter. Sea clam shell (Haigeke) is used with Laminaria (Kunbu), Seaweed (Haizao) and Ark shell (Walengzi) in the formula Hanhua Wan.","1. Treatment of phlegm-heat cough manifested as cough with thick yellow sputum, asthma, chest pain and hypochondriac pain. Sea clam shell (Haigeke) is used with Costazia bone (Haifushi), Swallowwort rhizome (Baiqian), Mulberry bark (Sangbaipi), Capejasmin",NA,"For desolving phlegm, stopping cougth, and soothing breathing",化痰止咳平喘,HERB002089,NA,NPO13165,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00339,Adenanthera pavonina,Sandal Beadtree,HAI HONG DOU,海红豆,NA,NA,seed,"To course wind and clear heat, dry damp and resolve itch, moisten skin.",Wandering wind of head and face.,NA,NA,NA,HERB002092,NA,NPO14975,3811,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Adenanthera,NA
H00340,Spora Lygodii,spore of Japanese climbing Fern,HAI JIN SHA,海金沙,Cold; Sweet,Bladder; Small Intestine,aerial parts,To promote diuresis and treat stranguria,"Heat strangury, stone strangury, blood strangury, inhibited urination [=dysuria], edema, white turbidity, vaginal discharge, hepatitis, diarrhea, dysentery, common cold with fever, cough and asthma, swelling pain in throat, mouth sore, red eyes with gall, mumps, mammary welling abscess, erysipelas, zoster, burns and scalds, itchy skin, wound swelling from knocks and falls, wind-damp impediment pain, bleeding due to external injury.",NA,Diuretic Dampness Excreting Drugs,利水渗湿药,HERB002094,157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00341,Cortex erythrie,bark of Oriental Variegated Coralbean,HAI TONG PI,海桐皮,Mild; Pungent; Bitter,Liver,bark,1. To dispel wind and dampness; 2. To clear the meridians,"Wind-damp impediment, pain in lumbus and knees, scab sore, lichen, eczema.",NA,Wind-Dampnessdispelling And Heatclearing Medicinal,祛风湿清热药,HERB002119,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00342,Sargassum,seaweed,HAI ZAO,海藻,Cold; Salty,Stomach; Kidney,NA,"To soften indurated mass, to eliminate phlegm and dissipate modulation, and to induce diuresis.",1. Prevent and treat hypothyroidism caused by deficiency of iodine.2. Its aqueous infusion can lower blood pressure and inhibit the growth of trichophyton.3. Causing atrophy of mammary gland and decreasing milk secretion.,NA,Phlegresolving Medicine,化痰药,HERB002126,159,NPO29718,3015,Eukaryota,No Rank at Level Kingdom,No Rank at Level Phylum,Phaeophyceae,Fucales,Sargassaceae,No Rank at Level Genus,NA
H00343,Herba Ecliptae Prostratae,eclipta,HAN LIAN CAO,旱莲草,Cold; Sweet; Sour,Liver; Kidney,Eclipta prostrata L.,For tonifying ying,NA,NA,For tonifying weakness,补虚,HERB002131,NA,NPO15546,53719,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Eclipta,NA
H00344,Apium graveolens,Wildcelery,HAN QIN,旱芹,NA,NA,herb,"To calm liver, clear heat, dispel wind, disinhibit water, stanch bleeding, resolve toxin, lower blood pressure.","Hypertension, hypercholesterolemia, headache and dizziness, red face and eyes, blood strangury, swollen welling abscess.",NA,NA,NA,HERB002135,NA,NPO26721,4045,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,NA
H00345,Apium graveolens var. dulce,Wildcelery Variety,HAN QIN BIAN ZHONG,旱芹变种,NA,NA,NA,NA,NA,NA,NA,NA,HERB002136,NA,NPO26721.1,117781,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Apium,NA
H00346,Radix Notoginseng,Sanchi,HAN SAN QI,汉三七,Warm; Pungent; Slightly Bitter,Stomach; Liver,Panax notoginseng (Burk. ) F. H. Chen.,"Treatment of hemoptysis, hematemesis, epistaxis, hematochezia, abnormal uterine bleeding, traumatic bleeding, pricking pain in the chest and abdomen, traumatic swelling and pain.","1. Flavonoid glycoside, one of its components, increases coronary flow, reduces myocardial oxygen consumption and lowers arterial pressure.2.Cardiotonic on frogs' hearts in vitro; low concentration of its extract exerts a vasoconstrictive effect on the vessels of frogs' leg and high concentration, vasodilative3. Its liquid extract shortens clotting time and exerts hemostatic effect in rabbit.",NA,Bleeding control,止血,HERB002138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00347,Calcitum,mirabilitum crystallina,HAN SHUI SHI,寒水石,Cold; Pungent; Salty,Stomach; Heart; Kidney,NA,For clearing heat and purging fire,NA,NA,Heat clearence,清热,HERB002142,NA,NPO357,NA,NA,NA,NA,NA,NA,NA,NA,NA
